source_file,Hospital Centinela,Total de casos,Nº casos positivos,VRS,Ad,Para,Inf A,Inf B,semana,año
SE52_31-12-2019.pdf,R.M. Sur Exequiel González C.,10,0,0,0,0,0,0,SE52,2019
SE52_31-12-2019.pdf,R.M. Occidente Félix Bulnes,32,2,0,0,2,0,0,SE52,2019
SE52_31-12-2019.pdf,R.M. Occidente San Juan de Dios,33,0,0,0,0,0,0,SE52,2019
SE52_31-12-2019.pdf,R.M. Suroriente Padre Hurtado,16,3,0,2,0,0,0,SE52,2019
SE52_31-12-2019.pdf,R.M. Oriente Hospital del Torax,13,0,0,0,0,0,0,SE52,2019
SE52_31-12-2019.pdf,R.M. Oriente Hospital Militar,8,0,0,0,0,0,0,SE52,2019
SE52_31-12-2019.pdf,Otros R.M**,2,2,0,0,0,0,2,SE52,2019
SE22_07-06-2022.pdf,R.M. Sur Exequiel González C.,81,33,26,0,1,0,0,SE22,2022
SE22_07-06-2022.pdf,R.M. Occidente Félix Bulnes,133,90,62,1,8,0,0,SE22,2022
SE22_07-06-2022.pdf,R.M. Occidente San Juan de Dios,66,22,7,0,3,6,0,SE22,2022
SE22_07-06-2022.pdf,R.M. Suroriente Padre Hurtado,108,23,19,0,1,2,0,SE22,2022
SE22_07-06-2022.pdf,R.M. Oriente Hospital del Tórax,13,1,0,0,0,0,0,SE22,2022
SE22_07-06-2022.pdf,R.M. Oriente Hospital Militar,16,10,6,0,2,0,0,SE22,2022
SE22_07-06-2022.pdf,"Santiago, Consultorio Steeger",2,2,0,0,2,0,0,SE22,2022
SE22_07-06-2022.pdf,"Santiago, Consultorio Avendaño",1,0,0,0,0,0,0,SE22,2022
SE22_07-06-2022.pdf,"Santiago, Consultorio 5",4,0,0,0,0,0,0,SE22,2022
SE22_07-06-2022.pdf,"Santiago, Consultorio Ariztía",2,2,0,0,0,0,0,SE22,2022
SE22_07-06-2022.pdf,Otros R.M**,12,12,0,0,0,12,0,SE22,2022
SE09_08-03-2022.pdf,R.M. Sur Exequiel González C.,5,0,0,0,0,0,0,SE09,2022
SE09_08-03-2022.pdf,R.M. Occidente Félix Bulnes,23,0,0,0,0,0,0,SE09,2022
SE09_08-03-2022.pdf,R.M. Occidente San Juan de Dios,30,2,0,1,0,1,0,SE09,2022
SE09_08-03-2022.pdf,R.M. Suroriente Padre Hurtado,7,7,0,1,0,0,0,SE09,2022
SE09_08-03-2022.pdf,R.M. Oriente Hospital del Tórax,2,1,0,0,0,0,0,SE09,2022
