comuna,ano,matriculas,tipo
ALHUÉ,2021,1304,escolar
BUIN,2021,22510,escolar
CALERA DE TANGO,2021,5341,escolar
CERRILLOS,2021,12886,escolar
CERRO NAVIA,2021,17240,escolar
COLINA,2021,41694,escolar
CONCHALÍ,2021,21878,escolar
CURACAVÍ,2021,7224,escolar
EL BOSQUE,2021,37472,escolar
EL MONTE,2021,6666,escolar
ESTACIÓN CENTRAL,2021,25743,escolar
HUECHURABA,2021,14819,escolar
INDEPENDENCIA,2021,19932,escolar
ISLA DE MAIPO,2021,7055,escolar
LA CISTERNA,2021,28139,escolar
LA FLORIDA,2021,75332,escolar
LA GRANJA,2021,20927,escolar
LA PINTANA,2021,35649,escolar
LA REINA,2021,22522,escolar
LAMPA,2021,23013,escolar
LAS CONDES,2021,41568,escolar
LO BARNECHEA,2021,22525,escolar
LO ESPEJO,2021,12177,escolar
LO PRADO,2021,12632,escolar
MACUL,2021,16628,escolar
MAIPÚ,2021,97247,escolar
MARÍA PINTO,2021,2137,escolar
MELIPILLA,2021,28925,escolar
PADRE HURTADO,2021,15812,escolar
PAINE,2021,16768,escolar
PEDRO AGUIRRE CERDA,2021,16619,escolar
PEÑAFLOR,2021,18284,escolar
PEÑALOLÉN,2021,38728,escolar
PIRQUE,2021,4039,escolar
PROVIDENCIA,2021,31460,escolar
PUDAHUEL,2021,33467,escolar
PUENTE ALTO,2021,107806,escolar
QUILICURA,2021,43479,escolar
QUINTA NORMAL,2021,27958,escolar
RECOLETA,2021,34138,escolar
RENCA,2021,26100,escolar
SAN BERNARDO,2021,61635,escolar
SAN JOAQUÍN,2021,11964,escolar
SAN JOSÉ DE MAIPO,2021,2781,escolar
SAN MIGUEL,2021,25878,escolar
SAN PEDRO,2021,1632,escolar
SAN RAMÓN,2021,15030,escolar
SANTIAGO,2021,82299,escolar
TALAGANTE,2021,22357,escolar
TILTIL,2021,3884,escolar
VITACURA,2021,18782,escolar
ÑUÑOA,2021,38170,escolar
ALHUÉ,2019,1174,escolar
BUIN,2019,21786,escolar
