comuna,ano,matriculas,tipo
ALHUÉ,2022,343,parvulario
BUIN,2022,4936,parvulario
CALERA DE TANGO,2022,1138,parvulario
CERRILLOS,2022,3252,parvulario
CERRO NAVIA,2022,5060,parvulario
COLINA,2022,8421,parvulario
CONCHALÍ,2022,5169,parvulario
CURACAVÍ,2022,1487,parvulario
EL BOSQUE,2022,8562,parvulario
EL MONTE,2022,1808,parvulario
ESTACIÓN CENTRAL,2022,6215,parvulario
HUECHURABA,2022,3678,parvulario
INDEPENDENCIA,2022,3454,parvulario
ISLA DE MAIPO,2022,1590,parvulario
LA CISTERNA,2022,3699,parvulario
LA FLORIDA,2022,13612,parvulario
LA GRANJA,2022,5623,parvulario
LA PINTANA,2022,8281,parvulario
LA REINA,2022,4056,parvulario
LAMPA,2022,5348,parvulario
LAS CONDES,2022,6229,parvulario
LO BARNECHEA,2022,3909,parvulario
LO ESPEJO,2022,3531,parvulario
LO PRADO,2022,3375,parvulario
MACUL,2022,4074,parvulario
MAIPÚ,2022,16330,parvulario
MARÍA PINTO,2022,606,parvulario
MELIPILLA,2022,5810,parvulario
PADRE HURTADO,2022,3256,parvulario
PAINE,2022,3605,parvulario
PEDRO AGUIRRE CERDA,2022,5024,parvulario
PEÑAFLOR,2022,3780,parvulario
PEÑALOLÉN,2022,8128,parvulario
PIRQUE,2022,1184,parvulario
PROVIDENCIA,2022,3406,parvulario
PUDAHUEL,2022,8038,parvulario
PUENTE ALTO,2022,20654,parvulario
QUILICURA,2022,8582,parvulario
QUINTA NORMAL,2022,5923,parvulario
RECOLETA,2022,6685,parvulario
RENCA,2022,6774,parvulario
SAN BERNARDO,2022,12135,parvulario
SAN JOAQUÍN,2022,3396,parvulario
SAN JOSÉ DE MAIPO,2022,685,parvulario
SAN MIGUEL,2022,4118,parvulario
SAN PEDRO,2022,490,parvulario
SAN RAMÓN,2022,3499,parvulario
SANTIAGO,2022,9388,parvulario
TALAGANTE,2022,3720,parvulario
TILTIL,2022,1001,parvulario
VITACURA,2022,2244,parvulario
ÑUÑOA,2022,5561,parvulario
ALHUÉ,2023,372,parvulario
BUIN,2023,4899,parvulario
CALERA DE TANGO,2023,1087,parvulario
CERRILLOS,2023,3330,parvulario
CERRO NAVIA,2023,5128,parvulario
COLINA,2023,8083,parvulario
CONCHALÍ,2023,5051,parvulario
CURACAVÍ,2023,1456,parvulario
EL BOSQUE,2023,8450,parvulario
EL MONTE,2023,1717,parvulario
ESTACIÓN CENTRAL,2023,6279,parvulario
HUECHURABA,2023,3587,parvulario
INDEPENDENCIA,2023,3419,parvulario
ISLA DE MAIPO,2023,1627,parvulario
LA CISTERNA,2023,3690,parvulario
LA FLORIDA,2023,12664,parvulario
LA GRANJA,2023,5357,parvulario
LA PINTANA,2023,8123,parvulario
LA REINA,2023,3601,parvulario
LAMPA,2023,5712,parvulario
LAS CONDES,2023,6148,parvulario
LO BARNECHEA,2023,3745,parvulario
LO ESPEJO,2023,3553,parvulario
LO PRADO,2023,3394,parvulario
MACUL,2023,3778,parvulario
MAIPÚ,2023,15885,parvulario
MARÍA PINTO,2023,635,parvulario
MELIPILLA,2023,5921,parvulario
PADRE HURTADO,2023,3285,parvulario
PAINE,2023,3628,parvulario
PEDRO AGUIRRE CERDA,2023,4900,parvulario
PEÑAFLOR,2023,3684,parvulario
PEÑALOLÉN,2023,7850,parvulario
PIRQUE,2023,1154,parvulario
PROVIDENCIA,2023,3263,parvulario
PUDAHUEL,2023,7955,parvulario
PUENTE ALTO,2023,20215,parvulario
QUILICURA,2023,8643,parvulario
QUINTA NORMAL,2023,5983,parvulario
RECOLETA,2023,6587,parvulario
RENCA,2023,6834,parvulario
SAN BERNARDO,2023,12029,parvulario
SAN JOAQUÍN,2023,3312,parvulario
SAN JOSÉ DE MAIPO,2023,679,parvulario
SAN MIGUEL,2023,4166,parvulario
SAN PEDRO,2023,480,parvulario
SAN RAMÓN,2023,3194,parvulario
SANTIAGO,2023,9308,parvulario
