comuna,ano,matriculas,tipo
BUIN,2022,108,superior
CERRILLOS,2022,3372,superior
COLINA,2022,369,superior
CONCHALI,2022,17282,superior
EL BOSQUE,2022,149,superior
ESTACION CENTRAL,2022,26464,superior
HUECHURABA,2022,11312,superior
LA FLORIDA,2022,7437,superior
LA GRANJA,2022,698,superior
LAS CONDES,2022,49218,superior
LO BARNECHEA,2022,463,superior
MACUL,2022,33881,superior
MAIPU,2022,19703,superior
MELIPILLA,2022,2616,superior
PEÑALOLEN,2022,9496,superior
PROVIDENCIA,2022,107427,superior
PUENTE ALTO,2022,15047,superior
RENCA,2022,4367,superior
SAN BERNARDO,2022,8940,superior
SAN JOAQUIN,2022,20627,superior
SAN MIGUEL,2022,6325,superior
SANTIAGO,2022,301268,superior
VITACURA,2022,4152,superior
ÑUÑOA,2022,11864,superior
BUIN,2023,167,superior
CERRILLOS,2023,3199,superior
COLINA,2023,352,superior
CONCHALI,2023,20537,superior
ESTACION CENTRAL,2023,25611,superior
HUECHURABA,2023,11379,superior
LA FLORIDA,2023,7625,superior
LA GRANJA,2023,1457,superior
LAS CONDES,2023,52887,superior
LO BARNECHEA,2023,465,superior
MACUL,2023,33869,superior
MAIPU,2023,20281,superior
MELIPILLA,2023,3122,superior
PEÑAFLOR,2023,126,superior
PEÑALOLEN,2023,10166,superior
PROVIDENCIA,2023,120900,superior
PUENTE ALTO,2023,15008,superior
RENCA,2023,4267,superior
SAN BERNARDO,2023,9115,superior
SAN JOAQUIN,2023,21907,superior
SAN MIGUEL,2023,6146,superior
SANTIAGO,2023,307659,superior
VITACURA,2023,4652,superior
ÑUÑOA,2023,11727,superior
BUIN,2024,157,superior
CERRILLOS,2024,3291,superior
COLINA,2024,365,superior
CONCHALI,2024,21557,superior
ESTACION CENTRAL,2024,24828,superior
HUECHURABA,2024,11874,superior
LA FLORIDA,2024,7894,superior
LA GRANJA,2024,2459,superior
LAS CONDES,2024,59395,superior
LO BARNECHEA,2024,407,superior
MACUL,2024,39808,superior
MAIPU,2024,21315,superior
MELIPILLA,2024,3725,superior
PEÑAFLOR,2024,159,superior
PEÑALOLEN,2024,9133,superior
PROVIDENCIA,2024,124489,superior
PUENTE ALTO,2024,15413,superior
RENCA,2024,4760,superior
SAN BERNARDO,2024,9549,superior
SAN JOAQUIN,2024,22881,superior
SAN MIGUEL,2024,5855,superior
SANTIAGO,2024,321546,superior
VITACURA,2024,5765,superior
ÑUÑOA,2024,11532,superior
BUIN,2021,149,superior
CERRILLOS,2021,3593,superior
COLINA,2021,407,superior
CONCHALI,2021,11341,superior
EL BOSQUE,2021,298,superior
ESTACION CENTRAL,2021,26177,superior
HUECHURABA,2021,11623,superior
LA FLORIDA,2021,7617,superior
LA GRANJA,2021,333,superior
LAS CONDES,2021,49390,superior
LO BARNECHEA,2021,496,superior
MACUL,2021,35183,superior
MAIPU,2021,19952,superior
MELIPILLA,2021,2631,superior
PEÑALOLEN,2021,9682,superior
PROVIDENCIA,2021,94073,superior
PUENTE ALTO,2021,16067,superior
RECOLETA,2021,6,superior
RENCA,2021,4649,superior
SAN BERNARDO,2021,8930,superior
SAN JOAQUIN,2021,20045,superior
SAN MIGUEL,2021,6484,superior
SANTIAGO,2021,297985,superior
VITACURA,2021,4210,superior
ÑUÑOA,2021,12124,superior
BUIN,2019,428,superior
CERRILLOS,2019,3876,superior
COLINA,2019,311,superior
CONCHALI,2019,6546,superior
EL BOSQUE,2019,316,superior
ESTACION CENTRAL,2019,25729,superior
HUECHURABA,2019,10996,superior
LA FLORIDA,2019,7987,superior
LAS CONDES,2019,42905,superior
LO BARNECHEA,2019,527,superior
MACUL,2019,34125,superior
MAIPU,2019,21995,superior
MELIPILLA,2019,2532,superior
PEÑALOLEN,2019,9233,superior
PROVIDENCIA,2019,83555,superior
PUENTE ALTO,2019,18839,superior
QUILICURA,2019,12,superior
RECOLETA,2019,36,superior
RENCA,2019,5724,superior
SAN BERNARDO,2019,8980,superior
SAN JOAQUIN,2019,21347,superior
SAN MIGUEL,2019,5775,superior
SANTIAGO,2019,284972,superior
VITACURA,2019,3967,superior
ÑUÑOA,2019,12647,superior
BUIN,2020,156,superior
CERRILLOS,2020,3676,superior
COLINA,2020,323,superior
CONCHALI,2020,7839,superior
EL BOSQUE,2020,282,superior
ESTACION CENTRAL,2020,23852,superior
HUECHURABA,2020,10854,superior
LA FLORIDA,2020,7376,superior
LAS CONDES,2020,45943,superior
LO BARNECHEA,2020,494,superior
MACUL,2020,32876,superior
MAIPU,2020,20359,superior
MELIPILLA,2020,2460,superior
PEÑALOLEN,2020,9497,superior
PROVIDENCIA,2020,80235,superior
PUENTE ALTO,2020,16880,superior
RECOLETA,2020,34,superior
RENCA,2020,5154,superior
SAN BERNARDO,2020,9229,superior
SAN JOAQUIN,2020,19222,superior
SAN MIGUEL,2020,6007,superior
SANTIAGO,2020,270096,superior
VITACURA,2020,3670,superior
ÑUÑOA,2020,11377,superior
